baker,last_name,series,episode,baker_age,baker_occupation,hometown,technical,result,signature_bake,show_stopper
Miranda,Browne,1,4,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,IN,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble"
Miranda,Browne,1,5,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,IN,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés"
Miranda,Browne,1,6,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",NA,Runner-up,Lemon Cupcake,Eliminated after signature
Ruth,Clemens,1,1,31,Retail manager/Housewife,"Poynton, Cheshire",NA,IN,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles
Ruth,Clemens,1,2,31,Retail manager/Housewife,"Poynton, Cheshire",5,IN,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs
Ruth,Clemens,1,3,31,Retail manager/Housewife,"Poynton, Cheshire",2,IN,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels"
Ruth,Clemens,1,4,31,Retail manager/Housewife,"Poynton, Cheshire",4,IN,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings"
Ruth,Clemens,1,5,31,Retail manager/Housewife,"Poynton, Cheshire",3,IN,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés"
Ruth,Clemens,1,6,31,Retail manager/Housewife,"Poynton, Cheshire",NA,Runner-up,"Mint, Ginger and Blackberry Cake",NA
Ben,Frazer,2,1,31,Graphic Designer,Northampton,2,IN,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream
Ben,Frazer,2,2,31,Graphic Designer,Northampton,1,IN,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts
Ben,Frazer,2,3,31,Graphic Designer,Northampton,3,IN,"Walnut, Raisin and Rosemary Loaf",UNKNOWN
Ben,Frazer,2,4,31,Graphic Designer,Northampton,5,OUT,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
Ben,Frazer,2,5,31,Graphic Designer,Northampton,NA,NA,NA,NA
Ben,Frazer,2,6,31,Graphic Designer,Northampton,NA,NA,NA,NA
Ben,Frazer,2,7,31,Graphic Designer,Northampton,NA,NA,NA,NA
Ben,Frazer,2,8,31,Graphic Designer,Northampton,NA,NA,NA,NA
Holly,Bell,2,1,31,Advertising executive,Leicester,1,STAR BAKER,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN
Holly,Bell,2,2,31,Advertising executive,Leicester,4,IN,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts
Holly,Bell,2,3,31,Advertising executive,Leicester,6,IN,Picnic Loaf,Stilton and Walnut Rolls
Holly,Bell,2,4,31,Advertising executive,Leicester,3,STAR BAKER,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)"
Holly,Bell,2,5,31,Advertising executive,Leicester,4,IN,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie
Holly,Bell,2,6,31,Advertising executive,Leicester,3,IN,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche
Holly,Bell,2,7,31,Advertising executive,Leicester,1,IN,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits"
Holly,Bell,2,8,31,Advertising executive,Leicester,2,Runner-up,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich
Ian,Vallance,2,1,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",10,IN,Apple and Cinnamon Cupcakes,UNKNOWN
Ian,Vallance,2,2,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,IN,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN
Ian,Vallance,2,3,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",10,OUT,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs
Ian,Vallance,2,4,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA,NA
Ian,Vallance,2,5,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA,NA
Ian,Vallance,2,6,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA,NA
Ian,Vallance,2,7,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA,NA
Ian,Vallance,2,8,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA,NA
Janet,Basu,2,1,63,Teacher of Modern Languages,"Formby, Liverpool",8,IN,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles
Janet,Basu,2,2,63,Teacher of Modern Languages,"Formby, Liverpool",8,IN,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts
Janet,Basu,2,3,63,Teacher of Modern Languages,"Formby, Liverpool",8,IN,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls
Janet,Basu,2,4,63,Teacher of Modern Languages,"Formby, Liverpool",4,IN,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons"
Janet,Basu,2,5,63,Teacher of Modern Languages,"Formby, Liverpool",1,STAR BAKER,Chicken and Chestnut Pie,Rhubarb Meringue Pie
Janet,Basu,2,6,63,Teacher of Modern Languages,"Formby, Liverpool",5,IN,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche
Janet,Basu,2,7,63,Teacher of Modern Languages,"Formby, Liverpool",4,OUT,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat
Janet,Basu,2,8,63,Teacher of Modern Languages,"Formby, Liverpool",NA,NA,NA,NA
Jason,White,2,1,19,Civil Engineering Student,Croydon,6,IN,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN
Jason,White,2,2,19,Civil Engineering Student,Croydon,3,STAR BAKER,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts
Jason,White,2,3,19,Civil Engineering Student,Croydon,7,IN,Cheese and Onion Tear and Share Loaf,UNKNOWN
Jason,White,2,4,19,Civil Engineering Student,Croydon,1,STAR BAKER,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)"
Jason,White,2,5,19,Civil Engineering Student,Croydon,7,OUT,Brown Down Chicken Pie,Plum Meringue Pie
Jason,White,2,6,19,Civil Engineering Student,Croydon,NA,NA,NA,NA
Jason,White,2,7,19,Civil Engineering Student,Croydon,NA,NA,NA,NA
Jason,White,2,8,19,Civil Engineering Student,Croydon,NA,NA,NA,NA
Jo,Wheatley,2,NA,41,Housewife,"Ongar, Essex",NA,NA,NA,NA
Keith,Batsford,2,1,31,House husband,"Arlesey, Bedfordshire",12,OUT,Earl Grey Cupcakes,Chocolate and Sour Cream Cake
Keith,Batsford,2,2,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA
Keith,Batsford,2,3,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA
Keith,Batsford,2,4,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA
Keith,Batsford,2,5,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA
Keith,Batsford,2,6,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA
Keith,Batsford,2,7,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA
Keith,Batsford,2,8,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA,NA
Mary-Anne,Boermans,2,1,45,Housewife,"Kidderminster, Worcestershire",4,IN,Banoffee Cupcakes,Chocolate and Raspberry Opera cake
Mary-Anne,Boermans,2,2,45,Housewife,"Kidderminster, Worcestershire",9,IN,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts
Mary-Anne,Boermans,2,3,45,Housewife,"Kidderminster, Worcestershire",5,IN,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns
Mary-Anne,Boermans,2,4,45,Housewife,"Kidderminster, Worcestershire",2,IN,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons
Mary-Anne,Boermans,2,5,45,Housewife,"Kidderminster, Worcestershire",2,IN,Chicken and Bacon Pie,Midnight Meringue
Mary-Anne,Boermans,2,6,45,Housewife,"Kidderminster, Worcestershire",4,IN,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel
Mary-Anne,Boermans,2,7,45,Housewife,"Kidderminster, Worcestershire",2,IN,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes
Mary-Anne,Boermans,2,8,45,Housewife,"Kidderminster, Worcestershire",3,Runner-up,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub
Robert,Billington,2,1,25,Photographer,London,3,IN,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache
Robert,Billington,2,2,25,Photographer,London,5,IN,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart"
Robert,Billington,2,3,25,Photographer,London,4,IN,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls
Robert,Billington,2,4,25,Photographer,London,7,IN,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons
Robert,Billington,2,5,25,Photographer,London,3,OUT,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie
Robert,Billington,2,6,25,Photographer,London,NA,NA,NA,NA
Robert,Billington,2,7,25,Photographer,London,NA,NA,NA,NA
Robert,Billington,2,8,25,Photographer,London,NA,NA,NA,NA
Simon,Blackwell,2,1,31,Rugby Coach,Norfolk,9,IN,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake
Simon,Blackwell,2,2,31,Rugby Coach,Norfolk,11,OUT,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts"
Simon,Blackwell,2,3,31,Rugby Coach,Norfolk,NA,NA,NA,NA
Simon,Blackwell,2,4,31,Rugby Coach,Norfolk,NA,NA,NA,NA
Simon,Blackwell,2,5,31,Rugby Coach,Norfolk,NA,NA,NA,NA
Simon,Blackwell,2,6,31,Rugby Coach,Norfolk,NA,NA,NA,NA
Simon,Blackwell,2,7,31,Rugby Coach,Norfolk,NA,NA,NA,NA
Simon,Blackwell,2,8,31,Rugby Coach,Norfolk,NA,NA,NA,NA
Urvashi,Roe,2,1,40,Head of Marketing,"Enfield, London",7,IN,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN
Urvashi,Roe,2,2,40,Head of Marketing,"Enfield, London",7,IN,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts
Urvashi,Roe,2,3,40,Head of Marketing,"Enfield, London",9,OUT,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves
Urvashi,Roe,2,4,40,Head of Marketing,"Enfield, London",NA,NA,NA,NA
Urvashi,Roe,2,5,40,Head of Marketing,"Enfield, London",NA,NA,NA,NA
Urvashi,Roe,2,6,40,Head of Marketing,"Enfield, London",NA,NA,NA,NA
Urvashi,Roe,2,7,40,Head of Marketing,"Enfield, London",NA,NA,NA,NA
Urvashi,Roe,2,8,40,Head of Marketing,"Enfield, London",NA,NA,NA,NA
Yasmin,Limbert,2,1,43,Childminder,"West Kirby, The Wirral",5,IN,Cardamom and Pomegranate Cupcakes,UNKNOWN
Yasmin,Limbert,2,2,43,Childminder,"West Kirby, The Wirral",6,IN,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts
Yasmin,Limbert,2,3,43,Childminder,"West Kirby, The Wirral",2,STAR BAKER,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls"
Yasmin,Limbert,2,4,43,Childminder,"West Kirby, The Wirral",6,IN,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons
Yasmin,Limbert,2,5,43,Childminder,"West Kirby, The Wirral",5,IN,Family Fish Pie,Peach and Raspberry Meringue Pie
Yasmin,Limbert,2,6,43,Childminder,"West Kirby, The Wirral",2,OUT,Baked Amaretto Cheesecake,Rose Croquembouche
Yasmin,Limbert,2,7,43,Childminder,"West Kirby, The Wirral",NA,NA,NA,NA
Yasmin,Limbert,2,8,43,Childminder,"West Kirby, The Wirral",NA,NA,NA,NA
Brendan,Lynch,3,1,63,Recruitment consultant,Sutton Coldfield,10,IN,"Plum, Sour Cherry & Walnut",UNKNOWN
Brendan,Lynch,3,2,63,Recruitment consultant,Sutton Coldfield,4,IN,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
Brendan,Lynch,3,3,63,Recruitment consultant,Sutton Coldfield,9,IN,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart"
Brendan,Lynch,3,4,63,Recruitment consultant,Sutton Coldfield,1,STAR BAKER,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise"
Brendan,Lynch,3,5,63,Recruitment consultant,Sutton Coldfield,3,IN,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie
Brendan,Lynch,3,6,63,Recruitment consultant,Sutton Coldfield,1,STAR BAKER,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel"
Brendan,Lynch,3,7,63,Recruitment consultant,Sutton Coldfield,4,IN,Chelsea Bunskis,Black Forest Christmas Stollen
Brendan,Lynch,3,8,63,Recruitment consultant,Sutton Coldfield,2,IN,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House
Brendan,Lynch,3,9,63,Recruitment consultant,Sutton Coldfield,3,IN,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré
Brendan,Lynch,3,10,63,Recruitment consultant,Sutton Coldfield,2,Runner-up,Potato and Pepper Pithivier,Family Reunion Chiffon Cake
Cathryn,Dresser,3,1,27,Shop assistant,"Pease Pottage, West Sussex",5,IN,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake
Cathryn,Dresser,3,2,27,Shop assistant,"Pease Pottage, West Sussex",8,IN,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels"
Cathryn,Dresser,3,3,27,Shop assistant,"Pease Pottage, West Sussex",3,IN,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart"
Cathryn,Dresser,3,4,27,Shop assistant,"Pease Pottage, West Sussex",3,IN,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue"
Cathryn,Dresser,3,5,27,Shop assistant,"Pease Pottage, West Sussex",1,IN,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie
Cathryn,Dresser,3,6,27,Shop assistant,"Pease Pottage, West Sussex",3,IN,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel
Cathryn,Dresser,3,7,27,Shop assistant,"Pease Pottage, West Sussex",5,IN,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche
Cathryn,Dresser,3,8,27,Shop assistant,"Pease Pottage, West Sussex",5,OUT,Cheese and Pickle Crackers,Gingerbread Buckingham Palace
Cathryn,Dresser,3,9,27,Shop assistant,"Pease Pottage, West Sussex",NA,NA,NA,NA
Cathryn,Dresser,3,10,27,Shop assistant,"Pease Pottage, West Sussex",NA,NA,NA,NA
Danny,Bryden,3,1,45,Intensive care consultant,Sheffield,7,IN,"Plum, Ginger & Orange",UNKNOWN
Danny,Bryden,3,2,45,Intensive care consultant,Sheffield,3,IN,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN
Danny,Bryden,3,3,45,Intensive care consultant,Sheffield,2,IN,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart"
Danny,Bryden,3,4,45,Intensive care consultant,Sheffield,2,IN,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise"
Danny,Bryden,3,5,45,Intensive care consultant,Sheffield,7,IN,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie
Danny,Bryden,3,6,45,Intensive care consultant,Sheffield,2,IN,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel"
Danny,Bryden,3,7,45,Intensive care consultant,Sheffield,2,STAR BAKER,Bakewell Chelsea Buns,European Christmas Wreath
Danny,Bryden,3,8,45,Intensive care consultant,Sheffield,4,IN,Spiced Almond Drinks Crackers,Gingerbread Big Ben
Danny,Bryden,3,9,45,Intensive care consultant,Sheffield,4,OUT,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré
Danny,Bryden,3,10,45,Intensive care consultant,Sheffield,NA,NA,NA,NA
James,Morton,3,1,21,Medical student,"Hillswick, Shetland Islands",2,IN,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake"
James,Morton,3,2,21,Medical student,"Hillswick, Shetland Islands",2,IN,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels"
James,Morton,3,3,21,Medical student,"Hillswick, Shetland Islands",1,STAR BAKER,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart"
James,Morton,3,4,21,Medical student,"Hillswick, Shetland Islands",5,IN,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue"
James,Morton,3,5,21,Medical student,"Hillswick, Shetland Islands",6,IN,Four Pig Wellington,Sweet Potato Pie
James,Morton,3,6,21,Medical student,"Hillswick, Shetland Islands",7,IN,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel"
James,Morton,3,7,21,Medical student,"Hillswick, Shetland Islands",1,IN,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba
James,Morton,3,8,21,Medical student,"Hillswick, Shetland Islands",1,STAR BAKER,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn
James,Morton,3,9,21,Medical student,"Hillswick, Shetland Islands",1,STAR BAKER,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest"
James,Morton,3,10,21,Medical student,"Hillswick, Shetland Islands",1,Runner-up,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes
John,Whaite,3,1,22,Law student,Wigan,11,IN,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake
John,Whaite,3,2,22,Law student,Wigan,1,STAR BAKER,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels"
John,Whaite,3,3,22,Law student,Wigan,6,IN,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart"
John,Whaite,3,4,22,Law student,Wigan,6,IN,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova
John,Whaite,3,5,22,Law student,Wigan,2,IN,Venison and Haggis Wellington,Star-Spangled Pecan Pie
John,Whaite,3,6,22,Law student,Wigan,5,IN,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury
